id_usuario,nome,idade,cep,data_de_nascimento,renda,bairro,cidade
91,Benjamim da Mota,63,02838-000,1962-04-29,1877.63,CEP inválido,CEP inválido
92,Dom da Rocha,64,04836-110,1960-08-15,2442.22,Jardim Floresta,São Paulo
93,Evelyn Cirino,38,05866-040,1987-01-22,2014.62,Jardim Mariane,São Paulo
94,Yuri da Paz,31,05422-030,1993-05-16,11350.45,Pinheiros,São Paulo
95,Júlia Camargo,58,05868-030,1967-01-17,2342.76,Conjunto Habitacional Instituto Adventista,São Paulo
96,Dra. Melina Vasconcelos,65,05868-030,1959-11-13,2310.12,Conjunto Habitacional Instituto Adventista,São Paulo
97,Otto Carvalho,52,02862-120,1972-05-27,1372.99,Jardim Almanara,São Paulo
98,Brenda Alves,47,04117-001,1977-07-22,12655.65,CEP inválido,CEP inválido
99,Heloísa Mendonça,47,04812-000,1978-03-11,2183.96,Jardim Ana Lúcia,São Paulo
100,Josué da Cunha,25,02860-000,1999-07-10,2069.61,Vila Souza,São Paulo
101,Sr. Otávio Rios,56,05001-100,1969-02-10,9368.45,Água Branca,São Paulo
102,Marcela Nunes,50,05014-000,1974-09-10,10163.82,Perdizes,São Paulo
103,Mateus Novaes,41,05868-270,1983-07-01,1885.06,Conjunto Habitacional Instituto Adventista,São Paulo
104,Dra. Raquel Mendonça,64,05868-030,1960-12-18,2084.82,Conjunto Habitacional Instituto Adventista,São Paulo
105,Rhavi Martins,31,04812-000,1993-07-30,2229.02,Jardim Ana Lúcia,São Paulo
106,Marcela Cassiano,34,05014-000,1990-11-27,11220.84,Perdizes,São Paulo
107,Yago Caldeira,19,08210-530,2005-11-15,2842.44,Itaquera,São Paulo
108,Maria Cecília Casa Grande,54,05866-040,1970-05-24,2103.97,Jardim Mariane,São Paulo
109,Sra. Zoe das Neves,47,04812-000,1977-12-10,3152.21,Jardim Ana Lúcia,São Paulo
110,Srta. Maria Ramos,49,04117-001,1975-08-02,10609.34,CEP inválido,CEP inválido
111,Isadora Brito,37,08210-530,1987-09-02,3653.29,Itaquera,São Paulo
112,Vitor Hugo Silveira,45,04118-080,1980-01-27,8787.55,Vila Mariana,São Paulo
113,Cauã Freitas,44,05868-030,1981-04-22,1497.5,Conjunto Habitacional Instituto Adventista,São Paulo
114,Mateus Leão,30,02838-000,1995-03-21,2108.74,CEP inválido,CEP inválido
115,Ana Cecília Oliveira,69,02862-120,1956-01-18,2222.59,Jardim Almanara,São Paulo
116,Vitor Oliveira,21,04518-010,2004-02-20,17100.98,Jardim Novo Mundo,São Paulo
117,Dr. Davi Luiz das Neves,21,08210-530,2003-08-27,2871.88,Itaquera,São Paulo
118,Dr. Leandro Araújo,34,08230-010,1990-06-21,2297.34,Vila Taquari,São Paulo
119,Pedro Miguel Freitas,23,08220-001,2001-07-01,2857.0,CEP inválido,CEP inválido
120,João Miguel Cassiano,49,04843-300,1976-02-15,2456.58,Jardim Itatiaia,São Paulo
121,Lavínia Azevedo,50,04812-000,1974-09-03,2392.4,Jardim Ana Lúcia,São Paulo
122,Srta. Caroline da Cunha,28,08210-530,1996-12-17,2962.21,Itaquera,São Paulo
123,Catarina da Paz,68,04515-030,1957-04-09,16476.52,Indianópolis,São Paulo
124,Hadassa Oliveira,42,02862-120,1982-11-04,2020.26,Jardim Almanara,São Paulo
125,Raul Farias,33,04843-300,1991-08-14,2197.14,Jardim Itatiaia,São Paulo
126,Mateus Cavalcante,25,05001-100,2000-02-28,9960.86,Água Branca,São Paulo
127,Antony Leão,19,04812-000,2005-07-23,2255.03,Jardim Ana Lúcia,São Paulo
128,André Araújo,53,04117-001,1971-09-01,11076.31,CEP inválido,CEP inválido
129,Marcelo Novais,31,04843-300,1994-02-18,2344.81,Jardim Itatiaia,São Paulo
130,Maria Flor Guerra,29,08230-010,1995-08-19,3078.52,Vila Taquari,São Paulo
131,Dra. Ana Laura Gomes,45,04515-030,1980-03-02,11260.61,Indianópolis,São Paulo
132,Marcos Vinicius Sousa,61,08230-010,1964-02-22,3026.24,Vila Taquari,São Paulo
133,João Gabriel Caldeira,39,05424-000,1985-06-14,10435.15,Pinheiros,São Paulo
134,Clarice Monteiro,53,02838-000,1972-01-15,2146.3,CEP inválido,CEP inválido
135,Dra. Eloá Nunes,50,04117-001,1974-05-13,9204.61,CEP inválido,CEP inválido
136,Pietro Fonseca,64,08210-530,1960-07-02,2422.94,Itaquera,São Paulo
137,Benjamin Silveira,70,04812-000,1954-11-27,2103.35,Jardim Ana Lúcia,São Paulo
138,Theo Fonseca,49,04105-010,1976-02-29,10320.97,Vila Mariana,São Paulo
139,Ana Laura Montenegro,29,04836-110,1996-01-30,2090.41,Jardim Floresta,São Paulo
140,Sofia Gomes,38,04515-030,1987-01-20,15216.96,Indianópolis,São Paulo
141,Noah Mendonça,31,05424-000,1994-03-13,14096.38,Pinheiros,São Paulo
142,Liam Barros,26,05866-040,1998-05-31,1788.8,Jardim Mariane,São Paulo
143,Maria Alice Macedo,28,04812-000,1996-09-18,1783.73,Jardim Ana Lúcia,São Paulo
144,Maria Luiza Ferreira,68,04118-080,1956-11-03,10305.2,Vila Mariana,São Paulo
145,Emanuella Sá,30,08210-530,1995-03-05,2312.23,Itaquera,São Paulo
146,Arthur Vasconcelos,19,04843-300,2005-12-19,2119.33,Jardim Itatiaia,São Paulo
147,Dr. Vitor Hugo Melo,56,04117-001,1969-02-20,11583.0,CEP inválido,CEP inválido
148,Rafaela Pereira,41,04517-050,1984-01-20,15372.63,Indianópolis,São Paulo
149,Juan Cardoso,38,04518-010,1986-09-29,13185.05,Jardim Novo Mundo,São Paulo
150,Sra. Nina Costa,51,08220-001,1973-07-19,2474.28,CEP inválido,CEP inválido
151,Vitor Gabriel Cardoso,68,05014-000,1957-01-19,9475.24,Perdizes,São Paulo
152,Thomas Melo,20,05866-040,2004-07-22,1946.56,Jardim Mariane,São Paulo
153,Dr. Théo Ribeiro,22,04515-030,2002-08-11,8744.21,Indianópolis,São Paulo
154,Carolina Melo,56,04515-030,1969-02-13,15437.75,Indianópolis,São Paulo
155,Antonella Cavalcanti,19,05868-270,2005-05-21,2131.29,Conjunto Habitacional Instituto Adventista,São Paulo
156,Maria Luísa Macedo,64,05002-000,1960-12-08,11683.43,Água Branca,São Paulo
157,Maria Viana,63,04105-010,1961-05-29,10389.58,Vila Mariana,São Paulo
158,Vitória Martins,47,05422-030,1977-06-06,10804.41,Pinheiros,São Paulo
159,Valentina Mendonça,70,05868-030,1954-09-24,1910.38,Conjunto Habitacional Instituto Adventista,São Paulo
160,Sra. Heloisa Albuquerque,23,04117-001,2001-08-19,11140.38,CEP inválido,CEP inválido
161,Lorena Brito,68,04118-080,1956-10-28,10865.61,Vila Mariana,São Paulo
162,Srta. Fernanda Farias,52,04517-050,1973-01-08,13573.6,Indianópolis,São Paulo
163,Heloisa Jesus,64,05868-030,1960-08-04,2127.28,Conjunto Habitacional Instituto Adventista,São Paulo
164,Luiz Felipe Rezende,21,08210-530,2003-11-27,2685.78,Itaquera,São Paulo
165,Ester da Mota,24,05866-040,2000-07-09,2271.2,Jardim Mariane,São Paulo
166,Liam da Costa,25,02862-120,1999-11-09,2310.48,Jardim Almanara,São Paulo
167,Mirella Castro,23,08230-010,2001-07-25,2470.98,Vila Taquari,São Paulo
168,João Felipe Borges,24,04843-300,2000-10-08,1563.81,Jardim Itatiaia,São Paulo
169,Bella Mendes,35,04812-000,1990-01-07,2265.69,Jardim Ana Lúcia,São Paulo
170,Raul da Cruz,26,04117-001,1999-01-23,11234.66,CEP inválido,CEP inválido
171,Asafe Barbosa,25,08220-001,1999-08-26,2389.14,CEP inválido,CEP inválido
172,Thomas Ramos,35,04843-300,1990-02-17,2208.87,Jardim Itatiaia,São Paulo
173,Maria Laura das Neves,54,05014-000,1971-02-03,9776.51,Perdizes,São Paulo
174,Sr. Luiz Fernando Lopes,27,02862-120,1997-05-25,1745.05,Jardim Almanara,São Paulo
175,Francisco Machado,55,04843-300,1969-07-25,2803.66,Jardim Itatiaia,São Paulo
176,Laura Fernandes,67,04118-080,1957-10-13,9333.04,Vila Mariana,São Paulo
177,Thales Araújo,31,05424-000,1994-03-23,9164.9,Pinheiros,São Paulo
178,Diogo da Mata,33,05866-040,1991-05-14,2571.25,Jardim Mariane,São Paulo
179,Gael Viana,45,04843-300,1980-04-04,2388.56,Jardim Itatiaia,São Paulo
180,Sr. Marcos Vinicius da Rocha,62,05866-040,1962-07-02,2328.62,Jardim Mariane,São Paulo
181,Brenda Guerra,23,08220-001,2002-02-10,2853.23,CEP inválido,CEP inválido
182,Marcelo das Neves,56,04836-110,1968-06-27,1948.24,Jardim Floresta,São Paulo
183,Otto Montenegro,37,05001-100,1988-01-29,10587.77,Água Branca,São Paulo
184,Ayla Moreira,44,08230-010,1980-06-08,3201.35,Vila Taquari,São Paulo
185,Hellena Nunes,30,05866-040,1994-08-23,1781.19,Jardim Mariane,São Paulo
186,Sofia Guerra,57,08210-530,1967-09-04,2067.37,Itaquera,São Paulo
187,Heloísa Camargo,63,05002-000,1962-02-18,6252.4,Água Branca,São Paulo
188,Bruno Cardoso,57,05868-030,1967-09-12,2082.9,Conjunto Habitacional Instituto Adventista,São Paulo
189,Dra. Cecília Sá,18,05866-040,2007-04-27,2015.3,Jardim Mariane,São Paulo
190,Larissa Campos,57,04517-050,1968-03-12,11676.3,Indianópolis,São Paulo
191,Bruna Marques,20,02838-000,2004-07-05,1965.55,CEP inválido,CEP inválido
192,Allana Azevedo,65,08230-010,1959-12-06,2813.95,Vila Taquari,São Paulo
193,Yasmin Costa,35,08230-010,1989-05-31,1892.67,Vila Taquari,São Paulo
194,Bárbara Marques,48,05422-030,1977-01-25,10173.8,Pinheiros,São Paulo
195,Maria Fernanda Aragão,36,05868-030,1988-08-24,1750.17,Conjunto Habitacional Instituto Adventista,São Paulo
196,Ana Júlia Freitas,45,05014-000,1980-01-14,13259.83,Perdizes,São Paulo
197,Sra. Bruna Gomes,26,08230-010,1999-04-12,3047.69,Vila Taquari,São Paulo
198,Erick da Mota,68,02860-000,1957-03-03,1661.28,Vila Souza,São Paulo
199,Clarice Viana,69,02838-000,1955-06-02,2070.4,CEP inválido,CEP inválido
200,Sr. Mathias da Luz,61,04105-010,1963-11-21,10379.13,Vila Mariana,São Paulo
201,Carolina Freitas,65,08230-010,1959-11-29,2884.53,Vila Taquari,São Paulo
202,Sra. Sara Sampaio,62,04118-080,1962-10-01,8123.33,Vila Mariana,São Paulo
203,Heloísa Guerra,41,05404-010,1984-03-12,13918.16,Cerqueira César,São Paulo
204,Maria Julia Castro,53,04105-010,1972-02-29,7880.46,Vila Mariana,São Paulo
205,Maria Alice Vieira,53,05866-040,1972-02-22,2406.12,Jardim Mariane,São Paulo
206,Davi Lucas Cunha,64,05404-010,1960-12-21,12441.95,Cerqueira César,São Paulo
207,Larissa Ramos,21,05002-000,2003-10-08,10769.11,Água Branca,São Paulo
208,Nathan da Conceição,64,04517-050,1960-11-16,13613.63,Indianópolis,São Paulo
209,Ágatha Peixoto,69,04843-300,1955-08-06,2419.04,Jardim Itatiaia,São Paulo
210,Eduardo da Mota,49,08220-001,1976-02-07,2346.42,CEP inválido,CEP inválido
211,João Felipe Pacheco,19,05868-270,2005-09-21,2180.65,Conjunto Habitacional Instituto Adventista,São Paulo
212,Dr. Benicio Costa,33,02860-000,1991-08-02,2294.81,Vila Souza,São Paulo
213,Isabelly Vasconcelos,56,04843-300,1968-11-27,1701.09,Jardim Itatiaia,São Paulo
214,Lara Rezende,50,04843-300,1975-03-16,1898.95,Jardim Itatiaia,São Paulo
215,Emilly Campos,29,04843-300,1996-05-02,2134.44,Jardim Itatiaia,São Paulo
216,Murilo Gonçalves,60,08230-010,1964-07-31,2169.75,Vila Taquari,São Paulo
217,Dr. Joaquim Nunes,38,04105-010,1987-01-02,10911.35,Vila Mariana,São Paulo
218,Sr. Henry Gabriel Sá,69,05422-030,1956-02-28,9651.54,Pinheiros,São Paulo
219,Matheus Costa,22,04517-050,2003-03-04,16413.47,Indianópolis,São Paulo
220,Gael Cirino,46,05002-000,1978-10-25,9392.5,Água Branca,São Paulo
221,Rodrigo Moraes,58,02838-000,1967-03-22,2149.92,CEP inválido,CEP inválido
222,Matteo Sá,48,04517-050,1976-09-06,15118.45,Indianópolis,São Paulo
223,Felipe Cavalcanti,31,04515-030,1994-01-20,11229.37,Indianópolis,São Paulo
224,Heitor Casa Grande,64,08210-530,1960-05-22,2656.67,Itaquera,São Paulo
225,Sr. Danilo Freitas,33,04836-110,1992-04-22,2803.41,Jardim Floresta,São Paulo
226,Dra. Juliana Pimenta,26,05422-030,1998-08-01,14491.64,Pinheiros,São Paulo
227,Letícia Castro,29,05866-040,1996-02-11,2357.82,Jardim Mariane,São Paulo
228,Camila Dias,61,02860-000,1963-08-11,2040.15,Vila Souza,São Paulo
229,Bárbara Sampaio,47,05014-000,1977-06-07,11977.8,Perdizes,São Paulo
230,Isadora Marques,27,05422-030,1997-11-28,11532.42,Pinheiros,São Paulo
231,Srta. Ana Laura das Neves,62,05866-040,1962-06-21,2017.78,Jardim Mariane,São Paulo
232,Dom da Mata,62,05422-030,1962-11-19,12753.1,Pinheiros,São Paulo
233,Luísa Pires,33,05014-000,1992-02-25,11866.73,Perdizes,São Paulo
234,Maya Teixeira,54,05868-270,1970-08-16,2189.16,Conjunto Habitacional Instituto Adventista,São Paulo
235,Dr. Renan Cavalcanti,33,05868-270,1991-07-20,2125.92,Conjunto Habitacional Instituto Adventista,São Paulo
236,Alice Vieira,52,05866-040,1972-09-28,2435.63,Jardim Mariane,São Paulo
237,Vitor Hugo Camargo,18,08210-530,2007-03-20,3698.3,Itaquera,São Paulo
238,Pedro Henrique Nunes,37,05866-040,1987-12-21,1985.71,Jardim Mariane,São Paulo
239,Ana Clara da Costa,30,04105-010,1995-01-11,8490.83,Vila Mariana,São Paulo
240,Lavínia Marques,25,05404-010,1999-08-19,10529.54,Cerqueira César,São Paulo
241,Ester Macedo,24,02838-000,2000-10-14,1989.59,CEP inválido,CEP inválido
242,Rafael Mendes,30,08230-010,1995-03-01,2846.61,Vila Taquari,São Paulo
243,Joana Alves,61,02838-000,1963-08-16,2295.3,CEP inválido,CEP inválido
244,Juliana da Luz,28,08220-001,1997-02-25,2661.73,CEP inválido,CEP inválido
245,Vitória Jesus,19,04518-010,2006-02-09,14607.25,Jardim Novo Mundo,São Paulo
246,Leonardo Castro,32,04105-010,1993-01-09,13682.95,Vila Mariana,São Paulo
247,Sra. Maria Julia Monteiro,28,02860-000,1996-08-01,1851.21,Vila Souza,São Paulo
248,Rhavi da Conceição,18,08230-010,2006-09-13,2680.65,Vila Taquari,São Paulo
249,Ana Cecília da Paz,37,02860-000,1988-04-14,2238.77,Vila Souza,São Paulo
250,Alícia Pinto,32,08230-010,1993-02-05,3182.52,Vila Taquari,São Paulo
251,Luna Guerra,22,05424-000,2003-03-03,11351.02,Pinheiros,São Paulo
252,Ayla Guerra,35,02860-000,1989-07-26,1883.69,Vila Souza,São Paulo
253,Zoe Albuquerque,25,05866-040,1999-06-19,2044.26,Jardim Mariane,São Paulo
254,Vicente Ferreira,43,08230-010,1981-11-06,2420.7,Vila Taquari,São Paulo
255,Noah da Rosa,70,04518-010,1954-05-29,15459.0,Jardim Novo Mundo,São Paulo
256,Luiz Felipe Câmara,64,05868-270,1960-06-02,1765.84,Conjunto Habitacional Instituto Adventista,São Paulo
257,Dr. João Pedro Rodrigues,50,05014-000,1974-09-10,11573.98,Perdizes,São Paulo
258,Catarina Sousa,24,02862-120,2000-12-24,2554.01,Jardim Almanara,São Paulo
259,Srta. Larissa Viana,23,02860-000,2002-01-07,2150.72,Vila Souza,São Paulo
260,Arthur Silva,35,04105-010,1990-04-16,11286.17,Vila Mariana,São Paulo
261,Igor Viana,65,04515-030,1960-02-25,13222.32,Indianópolis,São Paulo
262,Clara Nogueira,41,05422-030,1984-04-03,10937.08,Pinheiros,São Paulo
263,Cauê Costa,43,04118-080,1981-12-01,10286.65,Vila Mariana,São Paulo
264,Camila Gomes,21,05422-030,2004-02-26,12587.07,Pinheiros,São Paulo
265,Diogo Ramos,28,04517-050,1996-06-05,13799.88,Indianópolis,São Paulo
266,Oliver Barbosa,48,05002-000,1976-11-25,10939.46,Água Branca,São Paulo
267,Dr. Augusto Duarte,45,08220-001,1979-08-23,2822.41,CEP inválido,CEP inválido
268,Cauê Vieira,55,05866-040,1969-09-07,2228.68,Jardim Mariane,São Paulo
269,Anthony Gabriel Câmara,35,04515-030,1990-03-20,13237.79,Indianópolis,São Paulo
270,João Lucas Cassiano,21,05014-000,2003-09-08,10775.06,Perdizes,São Paulo
271,Luiz Henrique da Rocha,40,02862-120,1985-03-09,1832.32,Jardim Almanara,São Paulo
272,Davi Lucas Martins,45,02862-120,1979-07-22,2113.16,Jardim Almanara,São Paulo
273,Vitor Gabriel Peixoto,35,04117-001,1989-05-09,9167.2,CEP inválido,CEP inválido
274,Matheus da Mata,36,04843-300,1988-08-28,3013.11,Jardim Itatiaia,São Paulo
275,Manuella Nascimento,19,04105-010,2005-07-07,10660.02,Vila Mariana,São Paulo
276,Ayla Fernandes,67,05424-000,1958-05-05,11558.65,Pinheiros,São Paulo
277,Luísa Fernandes,50,02860-000,1974-06-17,1933.28,Vila Souza,São Paulo
278,João Pedro Casa Grande,20,08230-010,2005-02-08,2276.88,Vila Taquari,São Paulo
279,Marina Siqueira,22,04836-110,2002-09-25,2333.93,Jardim Floresta,São Paulo
280,Ana Julia Nascimento,71,02838-000,1954-05-02,2073.0,CEP inválido,CEP inválido
281,Stephany Gonçalves,42,04518-010,1982-07-30,14155.83,Jardim Novo Mundo,São Paulo
282,Cecilia Peixoto,33,02838-000,1992-03-31,1931.18,CEP inválido,CEP inválido
283,Murilo Cavalcanti,70,05868-270,1955-01-01,2259.23,Conjunto Habitacional Instituto Adventista,São Paulo
284,Dra. Sara Pimenta,64,04517-050,1961-01-29,13939.26,Indianópolis,São Paulo
285,Sr. Davi Pacheco,63,05001-100,1962-01-22,11397.38,Água Branca,São Paulo
286,Dr. Calebe Alves,20,05002-000,2005-04-26,11205.14,Água Branca,São Paulo
287,Cecilia Melo,36,04843-300,1989-04-30,2111.57,Jardim Itatiaia,São Paulo
288,Sr. Yuri Fernandes,64,05424-000,1960-08-15,15876.76,Pinheiros,São Paulo
289,Lívia Aparecida,50,04518-010,1974-11-21,13063.01,Jardim Novo Mundo,São Paulo
290,Maitê Caldeira,50,05866-040,1975-04-19,1504.79,Jardim Mariane,São Paulo
291,Igor Vieira,68,04812-000,1957-04-21,2341.48,Jardim Ana Lúcia,São Paulo
292,Noah Mendes,64,05424-000,1961-01-01,11429.37,Pinheiros,São Paulo
293,Heitor Marques,42,05002-000,1982-11-17,12867.85,Água Branca,São Paulo
294,Fernanda Gonçalves,55,05001-100,1969-06-30,11881.85,Água Branca,São Paulo
295,Ana Laura Fernandes,37,04812-000,1987-05-21,1996.93,Jardim Ana Lúcia,São Paulo
296,Dr. Igor Fernandes,50,04843-300,1974-08-16,2250.91,Jardim Itatiaia,São Paulo
297,Sra. Maria Vitória Cavalcanti,18,04843-300,2006-09-26,2447.12,Jardim Itatiaia,São Paulo
298,Benjamin Cardoso,52,05014-000,1972-05-13,9242.29,Perdizes,São Paulo
